Nr;Art;Mag;KBN;Nazwa art. 1;Nr fabr;Nazwa art. 2;L/B;StanDost;Wart;OstRez;Dz;Dost;NrProc;Suf;Poz;TOK;CDS;MA Erf.;
1;5;130;CLASWP17075U;WANNA PROSTOKĄTNA CLASSIC DUO 170x75;290700013001;BIAŁY USZL.BEZ NÓG;B;1.000;;1161229;S;KAAH01;14276176;1;2000;TMP;TMP;03744;
2;5;130;CN22KV3001320;GRZEJNIK COSMO 22KV 300x1320 (1445W);F1G2203013210000;PŁYTOWY;B;2.000;;1170113;G;VNWA01;14199884;1;8000;STE;SCE;03513;
3;5;130;CN11KV3001000;GRZEJNIK COSMO 11KV 300x1000  (565W);F1G1103010010000;PŁYTOWY;B;1.000;;1170113;G;VNWA01;14199884;1;17000;STE;SCE;03513;
4;5;130;CN22KV3001120;GRZEJNIK COSMO 22KV 300x1120 (1226W);F1G2203011210000;PŁYTOWY;B;1.000;;1170113;G;VNWA01;14199884;1;20000;STE;SCE;03513;
5;5;130;CN22KV3001320;GRZEJNIK COSMO 22KV 300x1320 (1445W);F1G2203013210000;PŁYTOWY;B;2.000;;1170113;G;VNWA01;14199884;1;36000;STE;SCE;03513;
6;5;130;CN22VM600920;GRZEJNIK COSMO T6 22VM 600x 920 (1576W);F1H2206009210000;PŁYTOWY;B;1.000;;1170113;G;VNWA01;14276471;1;2000;STE;SCE;03513;
7;5;130;CNB2218030;GRZEJNIK COSMO 22 1800x300 (1132W);F252218003011G00;PŁYTOWY PIONOWY PODŁĄCZENIE ŚRODKOWE;B;1.000;;1170113;G;VNWA01;14276471;1;6000;STE;SCE;03513;
8;5;130;CN33KVL6001000;GRZEJNIK COSMO 33KV 600x1000 (2453W);F1G3306010010010;PŁYTOWY LEWY;B;1.000;;1170113;G;VNWA01;14278206;1;6000;STD;SCD;03852;
9;5;130;#WAVA;RURA ST RC WODA SDR11 DN40X3.7 (100M);WAVHA;UWAGA-KALK.OD C.ZAKUPU WPISZ KOD;;190.000;;1160817;Z;WABU01;14229148;1;1000;SH2;SHA;03630;
10;5;130;UPCKT315BE;TRÓJNIK PVC KANALIZACYJNY 315x160/87°ZEW;23325;.;B;1.000;;1150924;Z;MALI01;14138813;1;1000;SH2;SHA;03630;
11;5;130;#FNS;WŁAZ KANAŁOWY D400 Z WENTYLACJĄ;89480121;Z WYPEŁNIENIEM BETONOWYM DN680;;5.000;;1160722;Z;FAKO01;14142039;1;1000;SH2;SHB;03511;
12;5;130;#FNS;WŁAZ KANAŁOWY D400 BEZ WENTYLACJI;8948551;Z WYPEŁNIENIEM BETONOWYM DN680 Z ZAB.;;10.000;;1151012;Z;FAKO01;14142039;1;2000;SH2;SHB;03511;
